Name,Address,City,Phone Number,Web
"Dr. Lisa B. Webb, Md","99 Hawley Ln Ste 1120, Stratford, Ct 06614, United States",Stratford,+1 203-377-5988,http://www.neurologyct.com/
"Yaniv Chen, Md","111 Beach Rd, Fairfield, Ct 06824, United States",Fairfield,+1 203-254-0284,https://neurologyct.com/
Efrat Feldman,"114 Woodland St, Hartford, Ct 06105, United States",Hartford,+1 860-522-3711,https://www.trinityhealthofne.org/provider/efrat-feldman-md-neurology
Trinity Health Of New England,"1000 Asylum Ave 5th Floor, Hartford, Ct 06105, United States",Hartford,+1 860-714-4000,https://www.trinityhealthofne.org/location/trinity-health-of-new-england
Bridgeport Hospital,"267 Grant St, Bridgeport, Ct 06610, United States",Bridgeport,+1 203-384-3000,https://www.bridgeporthospital.org/
Trinity Health Of New England Medical Group,"114 Woodland St, Hartford, Ct 06105, United States",Hartford,+1 860-714-4000,https://www.trinityhealthofne.org/location/saint-francis-hospital
"Dr. John Sayegh, Broadway Chiropractic","260 S Broadway Suite Lt, Yonkers, Ny 10705, United States",Yonkers,+1 914-968-7821,http://drjohnsayegh.com/
Dr. Jodi Jacobs Chiropractor,"909 Midland Ave, Yonkers, Ny 10704, United States",Yonkers,+1 914-476-6500,http://www.jodijacobsdc.com/
The Joint Chiropractic,"2417 Palmer Ave, New Rochelle, Ny 10801, United States",New Rochelle,+1 914-326-0685,https://www.thejoint.com/new-york/new-rochelle/new-rochelle-11032?y_source=1_MTA5NDU3NzM3My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
"Lawrence Ruck, D.c.","South Building, 200 S Broadway Suite 2-3, Tarrytown, Ny 10591, United States",Tarrytown,+1 914-844-7712,http://www.ruckspineandsports.com/
Perlman Dean A Dc,"800 Central Park Ave # 205, Scarsdale, Ny 10583, United States",Scarsdale,+1 914-725-4900,http://www.scarsdalechiropractic.com/
Pain Relief And Holistic Health Care,"1 S Stone Ave, Elmsford, Ny 10523, United States",Elmsford,+1 914-592-1733,http://www.drcoppolaforhealth.com/
"Charles C. Coppola, Dc","1 S Stone Ave, Elmsford, Ny 10523, United States",Elmsford,+1 914-592-1733,http://drcoppolaforhealth.com/
The York Clinic,"14 Harwood Ct Suite 215, Scarsdale, Ny 10583, United States",Scarsdale,+1 917-770-9107,https://www.yorkwellnessclinic.com/
Zhang Clinic,"280 Dobbs Ferry Rd Suite 209, White Plains, Ny 10607, United States",White Plains,+1 914-259-0346,http://www.zhangclinic.net/
Serenity Acupuncture And Wellness,"172 N Highland Ave Suite 1, Ossining, Ny 10562, United States",Ossining,+1 914-299-7787,http://www.pazacu-westchester.com/
"Dr. Hashemipour Acupuncture: Clinical Phd Of Integrative Medicine, Lac","17 Rodman Oval, New Rochelle, Ny 10805, United States",New Rochelle,+1 631-507-4845,http://doctorhvisit.com/
Thrive Acupuncture & Wellness,"1 S Greeley Ave #202, Chappaqua, Ny 10514, United States",Chappaqua,+1 914-268-6458,http://www.thriveacupunctureny.com/
Ren-shen Healing,"65 S Broadway, Tarrytown, Ny 10591, United States",Tarrytown,+1 914-418-5440,http://www.renshenhealing.com/
"Dr. Anabelle Grigorescu Dac, Lac-northeast Acupuncture","2005 Palmer Ave, Larchmont, Ny 10538, United States",Larchmont,+1 914-200-4405,http://www.anabellegrigorescu.com/
Concentric Acupuncture,"875 Mamaroneck Ave Suite 303, Mamaroneck, Ny 10543, United States",Mamaroneck,+1 914-200-3343,https://www.concentricacupuncture.com/
Flowing Rivers Acupuncture P.c.,"601 Warburton Ave, Hastings-on-hudson, Ny 10706, United States",Hastings-on-hudson,+1 914-572-1559,https://www.flowingrivers.net/
Ossining Acupuncture,"100 S Highland Ave, Ossining, Ny 10562, United States",Ossining,,https://ossiningacupuncture.com/
"Toni M. King, Ms","256 King St, Port Chester, Ny 10573, United States",Port Chester,+1 914-582-3276,http://spottedtigeracupuncture.com/
Larchmont Acupuncture,"1415 Boston Post Rd, Larchmont, Ny 10538, United States",Larchmont,+1 914-320-7290,http://www.larchmontacupuncture.com/
"Jean Lopez, Md","170 Maple Ave # 309, White Plains, Ny 10601, United States",White Plains,+1 914-220-0283,https://www.wphphysicianassociates.org/provider-directory/providers/jean-lopez-md/
"Kristen E. Sahler, Md","600 Mamaroneck Ave #200, Harrison, Ny 10528, United States",Harrison,+1 914-723-8100,https://www.wphphysicianassociates.org/provider-directory/providers/kristen-sahler-md/
"Jennifer Rosen, Md","170 Maple Ave # 309, White Plains, Ny 10601, United States",White Plains,+1 914-220-0283,https://www.wphphysicianassociates.org/provider-directory/providers/jennifer-rosen-md/
"Amy Hua, Do","99 Business Park Dr, Armonk, Ny 10504, United States",Armonk,+1 914-849-7900,https://www.wphphysicianassociates.org/provider-directory/providers/amy-hua-do/
Neurology At Burke,"785 Mamaroneck Ave Building 4, White Plains, Ny 10605, United States",White Plains,+1 914-723-8100,https://www.wphphysicianassociates.org/locations/neurology-at-burke/
Pediatric Neurology Assoc,"125 S Broadway, White Plains, Ny 10605, United States",White Plains,,http://www.pediatricneurology.com/
"Daniel Antoniello, Md","555 Taxter Rd, Elmsford, Ny 10523, United States",Elmsford,+1 914-457-4190,https://montefioreeinstein.org/profiles/1790851467/daniel-antoniello
"Peter D Angevine, Md","155 White Plains Rd, Tarrytown, Ny 10591, United States",Tarrytown,+1 212-305-9000,https://doctors.columbia.edu/us/ny/tarrytown/peter-d-angevine-md-155-white-plains-road?utm_source=yextgmb&utm_medium=organic&utm_campaign=yext_doctor_listings&y_source=1_MTkzNzUxMDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
"Comana M. Cioroiu, Md","155 White Plains Rd, Tarrytown, Ny 10591, United States",Tarrytown,+1 646-426-3876,https://doctors.columbia.edu/us/ny/tarrytown/comana-m-cioroiu-md-155-white-plains-road?utm_source=yextgmb&utm_medium=organic&utm_campaign=yext_doctor_listings&y_source=1_MjEwNjY2MzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
"Paul Eugene Lleva, Md, Faan","785 Mamaroneck Ave Building 4, White Plains, Ny 10605, United States",White Plains,+1 914-849-5300,https://www.wphphysicianassociates.org/provider-directory/providers/paul-lleva-md-faan/
"Alison M Pack, Md, Mph","155 White Plains Rd, Tarrytown, Ny 10591, United States",Tarrytown,+1 646-426-3876,https://doctors.columbia.edu/us/ny/tarrytown/alison-m-pack-md-155-white-plains-road?utm_source=yextgmb&utm_medium=organic&utm_campaign=yext_doctor_listings&y_source=1_MTIzMzAwNjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
"David M. Swope, Md","755 N Broadway Suite 430, Tarrytown, Ny 10591, United States",Tarrytown,+1 914-366-5300,https://www.northwell.edu/find-care/find-a-doctor/neurology/dr-david-m-swope-md-11507806?utm_source=provider_listing&utm_medium=partner&utm_campaign=doctor_dot_com
"Cheryl H. Waters, Md","155 White Plains Rd, Tarrytown, Ny 10591, United States",Tarrytown,+1 646-426-3876,https://doctors.columbia.edu/us/ny/tarrytown/cheryl-h-waters-md-155-white-plains-road?utm_source=yextgmb&utm_medium=organic&utm_campaign=yext_doctor_listings&y_source=1_MTIzMjU1MDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Neuro Alert Monitoring Services,"399 Knollwood Rd, White Plains, Ny 10603, United States",White Plains,+1 973-882-3456,https://www.accurateneuromonitoring.com/
"Peter Chei-way Pan, Md","155 White Plains Rd, Tarrytown, Ny 10591, United States",Tarrytown,+1 212-342-0571,https://doctors.columbia.edu/us/ny/tarrytown/peter-chei-way-pan-md-155-white-plains-road?utm_source=yextgmb&utm_medium=organic&utm_campaign=yext_doctor_listings&y_source=1_MTg4MjQwNjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
